capacity_mw,latitude,longitude,primary_fuel,generation_gwh_2016,State
1.9,40.2003,-74.5761,Solar,2.492,NJ
2,42.0761,-71.4227,Solar,2.416,MA
1.3,33.7943,-118.2414,Solar,1.592,CA
3.8,40.5358,-74.3913,Solar,5.051,NJ
4.2,41.9084,-89.0466,Gas,0.306,IL
1.3,44.4777,-73.1534,Solar,1.655,VT
1.9,40.5161,-74.34,Solar,2.659,NJ
2.4,33.7583,-84.3869,Oil,0,GA
2,42.1091,-72.1712,Solar,2.835,MA
3,42.1093,-72.1705,Solar,5.319,MA
1.2,36.67,-119.4158,Solar,2.601,CA
1.5,37.3522,-120.5069,Solar,3.798,CA
1.3,39.2917,-121.6697,Solar,2.712,CA
4.9,40.2058,-74.5797,Solar,1.667,NJ
1,34.0269,-118.2242,Solar,1.78,CA
2.2,42.5814,-71.7622,Solar,1.5,MA
1.8,40.8942,-74.7302,Solar,2.167,NJ
1.8,40.1964,-74.5836,Solar,2.265,NJ
2.5,41.8094,-71.1922,Solar,4.219,MA
3,44.5281,-121.1528,Hydro,7.332,OR
161.7,42.7553,-86.0853,Gas,14.034,MI
5,35.4325,-78.4117,Solar,9.354,NC
1,40.1392,-75.1917,Solar,1.238,PA
528,40.7889,-73.9069,Gas,2722.323019,NY
1.3,36.4972,-77.6058,Solar,1.968,NC
17.1,40.7713,-73.9912,Gas,0,NY
2.5,42.6267,-71.7428,Solar,4.2,MA
37,40.768,-73.9515,Oil,0.521,NY
14.1,35.1011,-118.3372,Wind,16.012,CA
21.2,35.1011,-118.3372,Wind,20.601,CA
18,35.0314,-81.4936,Hydro,45.196,SC
706.8,37.9053,-87.715,Coal,2135.061032,IN
12.8,37.151,-119.5047,Hydro,34.315,CA
84,41.4482,-72.8349,Gas,4.012,CT
3.8,33.5828,-86.7799,Gas,2.989,AL
2,35.1697,-119.1056,Biomass,10.899,CA
1.3,39.4375,-74.6906,Solar,1.916,NJ
5.4,39.4175,-74.5422,Waste,10.047,NJ
1.4,39.4606,-74.6809,Solar,2.024,NJ
20.8,32.0039,-93.3911,Cogeneration,0,LA
2.8,32.7755,-83.4348,Waste,17.964,GA
2,40.8928,-83.8863,Storage,0,OH
2,41.2326,-85.3149,Storage,0,IN
2,38.3622,-82.1256,Storage,0,WV
2,40.1218,-75.4172,Storage,-5.046,PA
1922,33.7688,-118.1009,Gas,889.395,CA
203,21.3034,-158.1065,Coal,1512.820004,HI
436,33.6439,-117.9792,Gas,486.191,CA
2154.8,38.5281,-87.2525,Coal,9230.343021,IN
1316.4,33.8504,-118.395,Gas,320.555,CA
350,35.1931,-94.6458,Coal,1922.597043,OK
229,39.5952,-78.7453,Coal,984.976003,WV
11,39.5931,-78.7453,Storage,-1.332,WV
5.5,38.9579,-104.8066,Solar,11.563,CO
2.5,42.5019,-71.7378,Solar,0.013,MA
692,33.1189,-82.8608,Gas,6.974,GA
5,35.4189,-77.9856,Solar,9.131,NC
98.6,33.1661,-86.2825,Gas,46.242,AL
