State,primary_fuel,sum
AK,Coal,196.4
AK,Gas,1358.2
AK,Hydro,469.0000000000001
AK,Oil,641.9
AK,Storage,45.0
AK,Waste,11.5
AK,Wind,53.5
AL,Biomass,687.6999999999999
AL,Coal,4526.7
AL,Gas,17457.200000000004
AL,Hydro,3248.2
AL,Nuclear,5270.4
AL,Oil,12.6
AL,Solar,105.0
AL,Waste,193.5
AR,Biomass,352.4
AR,Coal,7097.8
AR,Gas,7229.7
AR,Hydro,1348.9000000000003
AR,Nuclear,1845.0
AR,Oil,12.0
AR,Solar,13.0
AR,Waste,10.8
AZ,Coal,6510.9
AZ,Gas,16702.399999999998
AZ,Hydro,1893.3000000000002
AZ,Nuclear,4209.6
AZ,Oil,29.1
AZ,Solar,2429.6999999999994
AZ,Waste,33.2
AZ,Wind,237.8
CA,Biomass,113.6
CA,Coal,62.5
CA,Cogeneration,128.2
CA,Gas,42889.299999999974
CA,Geothermal,2788.0000000000005
CA,Hydro,13657.600000000011
CA,Nuclear,2323.0
CA,Oil,535.9
CA,Other,8.0
CA,Petcoke,27.3
CA,Solar,8759.1
CA,Storage,46.9
CA,Waste,1169.9000000000003
CA,Wind,5642.899999999998
CO,Biomass,15.0
CO,Coal,4742.7
CO,Cogeneration,10.6
CO,Gas,7998.6
CO,Hydro,1178.4000000000003
CO,Oil,201.29999999999998
CO,Solar,421.8
CO,Waste,19.0
CO,Wind,3021.0
CT,Coal,418.6
CT,Gas,4093.5000000000005
CT,Hydro,147.5
CT,Nuclear,2162.9
CT,Oil,2505.0
CT,Solar,28.6
CT,Waste,254.29999999999998
CT,Wind,5.0
DC,Biomass,25.1
DC,Gas,10.8
DE,Coal,464.1
DE,Gas,2991.1
DE,Nuclear,3672.5
DE,Oil,90.5
DE,Solar,32.8
DE,Waste,12.2
DE,Wind,2.0
FL,Biomass,542.3000000000001
FL,Coal,11846.599999999999
FL,Cogeneration,381.3
FL,Gas,42519.39999999998
FL,Hydro,55.7
FL,Nuclear,5021.2
FL,Oil,4239.9
FL,Other,21.0
FL,Solar,330.6000000000001
FL,Waste,1041.9
GA,Biomass,543.5
GA,Coal,9989.9
GA,Gas,19437.0
GA,Hydro,2466.9999999999995
GA,Nuclear,4041.8
GA,Oil,1029.1999999999998
GA,Other,82.1
GA,Petcoke,140.4
GA,Solar,951.1000000000001
GA,Storage,1.0
GA,Waste,302.79999999999995
HI,Coal,203.0
HI,Geothermal,51.0
HI,Hydro,28.1
HI,Oil,2068.5
HI,Other,152.1
HI,Solar,58.2
HI,Waste,107.6
HI,Wind,226.6
IA,Biomass,5.4
IA,Coal,6929.299999999999
IA,Gas,3508.4
IA,Hydro,4.4
IA,Nuclear,679.5
IA,Oil,868.8000000000001
IA,Solar,1.8
IA,Waste,16.0
IA,Wind,7047.299999999998
ID,Biomass,15.7
ID,Coal,10.2
ID,Cogeneration,15.9
ID,Gas,1244.4
ID,Geothermal,18.0
