city_list,cloudiness,country,date,humidity,lat,long,max_temp,wind_speed
Ushuaia,75,AR,2019-04-07,77,-54.81,-68.31,42.8,14.99
Nouadhibou,0,MR,2019-04-07,72,20.93,-17.03,66.2,14.99
Hobyo,0,SO,2019-04-07,91,5.35,48.53,76.93,7.2
Hobart,40,AU,2019-04-07,61,-42.88,147.33,50.0,8.05
Carutapera,92,BR,2019-04-07,94,-1.2,-46.02,79.36,4.41
Namibe,0,AO,2019-04-07,100,-15.19,12.15,77.02,7.76
Tura,24,IN,2019-04-07,94,25.52,90.21,63.79,5.53
Adrar,0,DZ,2019-04-07,13,27.87,-0.29,69.8,8.05
Kralendijk,20,BQ,2019-04-07,62,12.15,-68.27,84.2,20.8
Busselton,0,AU,2019-04-07,64,-33.64,115.35,50.0,12.46
Castro,75,CL,2019-04-07,77,-42.48,-73.76,64.4,11.41
Los Llanos de Aridane,75,ES,2019-04-07,68,28.66,-17.92,66.2,3.36
Rikitea,88,PF,2019-04-07,100,-23.12,-134.97,77.2,6.42
Yetkul,0,RU,2019-04-07,60,54.83,61.59,39.2,8.95
Neustadt,90,CH,2019-04-07,70,47.05,8.31,48.99,3.36
Puerto Escondido,40,MX,2019-04-07,70,15.86,-97.07,84.2,11.41
Mayo,90,CA,2019-04-07,80,63.59,-135.9,33.8,8.05
Mount Isa,0,AU,2019-04-07,64,-20.73,139.49,69.8,2.24
Sitka,0,US,2019-04-07,30,37.17,-99.65,75.0,11.99
Butaritari,56,KI,2019-04-07,100,3.07,172.79,81.16,12.68
Torbay,90,CA,2019-04-07,74,47.66,-52.73,35.01,11.41
Gweta,64,BW,2019-04-07,74,-20.21,25.26,69.73,13.47
Nikolskoye,0,RU,2019-04-07,48,59.7,30.79,42.8,8.95
Touros,20,BR,2019-04-07,78,-5.2,-35.46,82.4,6.93
Quatre Cocos,40,MU,2019-04-07,74,-20.21,57.76,80.6,12.75
Mar del Plata,92,AR,2019-04-07,88,-46.43,-67.52,52.0,8.77
Buchanan,40,LR,2019-04-07,83,5.88,-10.05,80.6,9.44
Chokurdakh,64,RU,2019-04-07,75,70.62,147.9,11.77,3.18
Campbell River,75,CA,2019-04-07,76,50.02,-125.24,52.0,9.17
Georgetown,20,GY,2019-04-07,66,6.8,-58.16,86.0,9.17
Saint George,75,GR,2019-04-07,71,39.45,22.34,59.0,5.82
Doha,0,QA,2019-04-07,57,25.29,51.53,78.8,4.7
Seoul,40,KR,2019-04-07,64,37.57,126.98,44.6,1.12
Viedma,0,AR,2019-04-07,26,-40.81,-62.99,84.58,2.28
Novita,88,CO,2019-04-07,82,4.96,-76.61,78.91,2.51
Chicama,90,PE,2019-04-07,94,-7.84,-79.15,68.0,8.05
Eyl,0,SO,2019-04-07,100,7.98,49.82,76.57,5.97
